emp_no,birth_date,first_name,last_name,title,from_date,to_date,salary
10097,1952-02-27,Remzi,Waschkowski,Senior Staff,1996-09-14,9999-01-01,44886
10100,1953-04-21,Hironobu,Haraldson,Senior Staff,1994-09-21,9999-01-01,54398
10103,1953-11-26,Akemi,Birch,Engineer,1998-01-12,9999-01-01,68158
10106,1952-08-29,Eben,Aingworth,Senior Engineer,1997-10-26,9999-01-01,62928
10126,1954-08-07,Kayoko,Valtorta,Senior Staff,1991-09-08,9999-01-01,40000
10127,1952-02-24,Subir,Baja,Senior Engineer,1991-05-17,9999-01-01,40000
10134,1953-04-15,Diederik,Siprelle,Senior Engineer,1994-12-12,9999-01-01,40000
10157,1954-04-23,Nigel,Aloisi,Senior Engineer,1997-12-10,9999-01-01,48770
10160,1953-10-18,Debatosh,Khasidashvili,Senior Staff,2000-12-06,9999-01-01,91622
10163,1952-09-17,Karsten,Szmurlo,Senior Staff,1992-02-02,9999-01-01,41603
10166,1953-05-10,Samphel,Siegrist,Engineer,1996-09-02,9999-01-01,51586
10183,1954-10-17,Mechthild,Bonifati,Staff,1996-08-11,9999-01-01,40000
10372,1952-04-08,Anneli,Frijda,Technique Leader,1985-07-30,9999-01-01,54505
10377,1954-08-19,Marl,Grospietsch,Senior Engineer,1996-08-24,9999-01-01,40000
10387,1952-11-03,Parto,Wrigley,Senior Staff,1999-01-07,9999-01-01,61374
10388,1953-03-29,Hironoby,Kaiser,Staff,1999-05-28,9999-01-01,62545
10389,1953-03-24,Make,Peir,Technique Leader,1999-05-13,9999-01-01,55548
10402,1953-07-23,Volkmar,Ebeling,Technique Leader,1987-01-02,9999-01-01,40000
10413,1952-05-05,Danel,Impagliazzo,Senior Staff,1997-12-26,9999-01-01,45416
10418,1952-06-29,Candida,Porotnikoff,Staff,1996-10-04,9999-01-01,52224
10422,1954-06-02,Greger,Rubsam,Engineer,1995-01-03,9999-01-01,45725
10196,1954-01-27,Marc,Hellwagner,Staff,1999-01-31,9999-01-01,86671
10429,1952-02-13,Martien,Improta,Senior Engineer,1988-09-23,9999-01-01,40000
10432,1953-11-06,Hisao,Tiemann,Senior Staff,1996-08-12,9999-01-01,40000
10433,1954-09-02,Reuven,Dengi,Engineer,1999-11-27,9999-01-01,40000
10198,1953-05-28,Pranav,Furedi,Senior Engineer,1993-08-31,9999-01-01,44076
10205,1953-05-20,Mabhin,Leijenhorst,Senior Engineer,1993-08-23,9999-01-01,40000
10215,1954-04-02,Xiaobin,Duclos,Senior Staff,1991-11-23,9999-01-01,43944
10451,1952-10-06,Bodh,Ranta,Senior Engineer,1998-03-12,9999-01-01,46275
10453,1953-07-19,Tsvetan,Matzel,Senior Staff,1993-04-02,9999-01-01,40000
10219,1952-05-02,Genta,Kolvik,Senior Staff,1993-03-31,9999-01-01,40000
10224,1954-05-17,Leon,Trogemann,Senior Engineer,1996-01-09,9999-01-01,40000
10463,1954-05-20,Ung,Zaiane,Staff,1994-02-17,9999-01-01,66480
10228,1953-04-21,Karoline,Cesareni,Senior Staff,1998-12-22,9999-01-01,79474
10477,1952-12-07,Guoxiang,Trogemann,Senior Engineer,2002-05-26,9999-01-01,55138
10233,1954-04-01,Lein,Vendrig,Senior Staff,2000-04-28,9999-01-01,40000
10486,1952-08-24,Amstein,Kossowski,Senior Engineer,1996-10-07,9999-01-01,71692
10494,1953-12-21,Yakkov,Servieres,Senior Engineer,2000-12-17,9999-01-01,50094
10240,1952-04-01,Remko,Maccarone,Engineer,1998-10-06,9999-01-01,73874
10497,1953-06-09,Pramod,Rabehasaina,Senior Engineer,1999-01-22,9999-01-01,63707
10499,1953-10-04,Maik,Luft,Senior Staff,2001-07-31,9999-01-01,40000
10503,1952-05-17,Dannz,Pell,Engineer,1997-03-13,9999-01-01,40000
10504,1953-04-07,Xiong,Varker,Staff,1999-10-19,9999-01-01,43931
10249,1954-06-10,Marie,Boreale,Senior Engineer,2000-12-07,9999-01-01,72192
10509,1953-10-03,Abdelwaheb,Riesenhuber,Senior Staff,1997-10-06,9999-01-01,49292
10272,1954-11-30,Yishai,Cannane,Staff,1997-10-23,9999-01-01,58070
10517,1953-06-18,Tiina,Speek,Senior Staff,1990-12-25,9999-01-01,65330
10529,1952-11-21,Ymte,Yetto,Assistant Engineer,1997-07-04,9999-01-01,47840
10531,1954-06-11,Oguz,Gimbel,Staff,1995-03-16,9999-01-01,49168
10281,1953-05-13,Moty,Kusakari,Senior Engineer,2000-12-02,9999-01-01,46123
10282,1953-11-27,Hercules,Benzmuller,Engineer,2001-05-02,9999-01-01,40000
10283,1953-07-08,Kauko,Birjandi,Senior Engineer,1995-05-26,9999-01-01,40000
10284,1954-04-08,Masali,Murrill,Engineer,1999-07-06,9999-01-01,40000
10295,1953-01-13,Kristine,Velardi,Senior Staff,2000-06-18,9999-01-01,46398
10298,1954-07-06,Dietrich,DuCasse,Staff,1999-04-27,9999-01-01,40000
10548,1952-06-12,Ramalingam,Gunderson,Senior Staff,1993-07-04,9999-01-01,90631
10552,1953-03-25,Kazuhito,Shiratori,Senior Engineer,1998-08-31,9999-01-01,80483
10306,1953-06-02,Heng,Kilgour,Staff,1993-09-06,9999-01-01,44229
10322,1954-05-28,Isamu,Dahlbom,Senior Engineer,1997-01-29,9999-01-01,41968
10568,1953-12-02,Gao,Poulakidas,Staff,1995-07-08,9999-01-01,64356
10325,1953-01-12,Arunachalam,Badr,Senior Staff,1990-09-20,9999-01-01,44325
10326,1953-02-13,Masali,Czap,Staff,1998-09-02,9999-01-01,40000
10333,1953-04-27,Snehasis,Dymetman,Senior Engineer,1998-01-16,9999-01-01,45141
10586,1954-06-23,Kirk,Vuskovic,Senior Engineer,2000-02-04,9999-01-01,47541
10340,1952-08-20,Djelloul,Laventhal,Senior Staff,1993-03-30,9999-01-01,68132
10593,1952-07-24,Falguni,Kenevan,Senior Engineer,1999-09-12,9999-01-01,71435
10343,1954-11-01,Dinah,Syrzycki,Senior Engineer,1997-10-03,9999-01-01,40000
10596,1954-01-24,Sanjit,Coors,Senior Staff,2001-05-23,9999-01-01,58689
10347,1953-10-03,Pradeep,Kaminger,Staff,1998-02-20,9999-01-01,42199
10349,1954-04-29,Oksana,Brodie,Senior Staff,1997-09-27,9999-01-01,47518
10614,1953-07-11,Gila,Ozeri,Senior Engineer,1998-03-03,9999-01-01,40000
10353,1953-01-15,Phule,Hammerschmidt,Senior Staff,1989-08-24,9999-01-01,62656
10355,1952-12-10,Satyanarayana,Cochrane,Staff,1996-01-26,9999-01-01,70434
10356,1952-08-12,Vasilis,Standera,Senior Staff,1995-06-26,9999-01-01,45376
10358,1953-04-08,Qunsheng,Tagansky,Technique Leader,1991-02-19,9999-01-01,63243
10364,1954-09-21,Nakhoon,Dengi,Senior Engineer,1985-11-14,9999-01-01,51401
10623,1953-07-11,Aleksander,Danlos,Senior Engineer,1999-01-15,9999-01-01,60268
10628,1954-04-18,Krisda,Krogh,Senior Engineer,2001-03-14,9999-01-01,41650
10630,1954-08-10,Bezalel,Katzenelson,Engineer,1997-01-13,9999-01-01,40000
10634,1954-08-01,Nahid,Chepyzhov,Senior Engineer,2000-11-10,9999-01-01,45179
10639,1953-04-18,Pramod,Erol,Senior Engineer,1999-10-26,9999-01-01,46291
10641,1953-12-24,Guozhong,Zucker,Engineer,1999-03-21,9999-01-01,41785
10653,1953-06-16,Otmar,Feinberg,Senior Engineer,1987-04-30,9999-01-01,40000
10671,1953-06-12,Parviz,Rebaine,Senior Staff,2001-09-13,9999-01-01,74037
10676,1953-08-26,Valeri,Danley,Engineer,1999-09-04,9999-01-01,58226
10741,1954-01-02,Sven,Huttel,Senior Staff,1997-01-06,9999-01-01,50265
10683,1952-06-18,Guiseppe,Stranks,Senior Engineer,1997-06-23,9999-01-01,40000
10693,1953-12-14,Berhard,Daescu,Senior Staff,1991-01-08,9999-01-01,40000
10696,1952-03-23,Unal,Fendler,Technique Leader,1991-09-09,9999-01-01,68913
10702,1952-11-25,Bader,Szemeredi,Senior Engineer,1991-01-14,9999-01-01,46581
10745,1953-10-23,Poorav,Ranze,Senior Engineer,1997-01-22,9999-01-01,40000
10750,1953-06-14,Roddy,Demeyer,Technique Leader,1998-11-06,9999-01-01,40000
10764,1953-01-12,Yunming,Beetstra,Senior Engineer,1998-11-27,9999-01-01,70720
10712,1952-04-12,Uma,Koprowski,Senior Engineer,2001-08-18,9999-01-01,40000
10767,1954-02-28,Monique,Doering,Staff,1997-07-15,9999-01-01,40651
10778,1953-03-13,Selwyn,Merey,Senior Staff,1986-07-04,9999-01-01,64996
10791,1954-05-27,Tadahiko,Sgarro,Senior Engineer,1995-07-31,9999-01-01,40000
10726,1954-01-11,Zita,Minakawa,Senior Engineer,2001-02-24,9999-01-01,46315
10795,1954-12-14,Supot,Naudin,Senior Staff,1999-05-03,9999-01-01,84206
10734,1954-07-06,Sachar,Erdi,Engineer,1995-12-19,9999-01-01,47377
10811,1954-06-29,Ashish,Fortenbacher,Engineer,1997-07-08,9999-01-01,40000
10926,1954-10-13,Leni,Eppinger,Senior Engineer,1995-04-30,9999-01-01,43219
10927,1953-03-13,Gal,Scallan,Senior Staff,1993-09-12,9999-01-01,51819
10813,1954-07-04,Shalesh,Shumilov,Senior Staff,1990-04-27,9999-01-01,53246
10930,1954-01-13,Arch,Minakawa,Senior Engineer,1998-11-22,9999-01-01,53785
10814,1952-09-17,Nidapan,Dymetman,Senior Staff,1998-07-17,9999-01-01,59378
10826,1952-12-06,Arnd,Anandan,Senior Engineer,1993-01-22,9999-01-01,59506
10936,1953-04-08,Mountaz,Schicker,Senior Staff,1996-05-08,9999-01-01,40000
10942,1952-08-08,Toshimitsu,Larfeldt,Engineer,1996-01-21,9999-01-01,40000
10944,1952-05-25,Remko,Zyda,Senior Engineer,1995-09-07,9999-01-01,42872
10947,1954-09-29,Gor,Usery,Senior Staff,2001-11-15,9999-01-01,43068
10949,1953-08-14,Shigeichiro,Wroclawski,Senior Staff,1996-06-28,9999-01-01,58253
10827,1953-09-25,Willard,Danley,Staff,1996-11-07,9999-01-01,58322
10830,1954-08-17,Fen,Fiebach,Senior Staff,1997-08-23,9999-01-01,47420
10831,1953-10-11,Toong,Driscoll,Technique Leader,1998-02-22,9999-01-01,82330
10833,1953-04-12,Krisda,Gecseg,Technique Leader,1998-12-23,9999-01-01,40000
10834,1954-12-16,Huiqun,Rajcani,Engineer,1999-11-24,9999-01-01,53869
10835,1952-11-23,Tomoyuki,Kermarrec,Engineer,1995-08-22,9999-01-01,40000
10969,1954-09-05,Premal,Noriega,Senior Engineer,1994-05-12,9999-01-01,40000
10836,1953-07-15,Jianhua,Leivant,Senior Staff,1987-08-10,9999-01-01,65502
10844,1954-02-03,Dipayan,Koprowski,Engineer,1997-04-25,9999-01-01,40000
10974,1952-03-07,Muneo,Papsdorf,Senior Engineer,1999-05-17,9999-01-01,56005
10846,1952-06-27,Tokuyasu,Serre,Senior Engineer,1995-01-17,9999-01-01,40000
10986,1954-08-11,Masako,Schiper,Technique Leader,1985-10-11,9999-01-01,43900
10987,1952-11-26,Flemming,Baezner,Engineer,1997-05-21,9999-01-01,46108
10989,1954-09-08,Sumali,Candan,Senior Staff,1991-07-20,9999-01-01,46406
10847,1952-03-04,Theirry,Danley,Senior Staff,1992-07-24,9999-01-01,40000
10848,1954-07-16,Fen,Bratsberg,Senior Engineer,1992-04-20,9999-01-01,50475
10990,1954-10-22,Shin,Foote,Technique Leader,1990-08-06,9999-01-01,40000
10849,1953-03-05,Makato,Mayerwieser,Engineer,2001-06-24,9999-01-01,66065
10854,1954-08-11,Jagoda,Nannarelli,Engineer,1998-07-13,9999-01-01,40000
10858,1952-10-01,Kenroku,Gonthier,Senior Engineer,2002-01-01,9999-01-01,47847
11004,1954-08-05,JoAnna,Decleir,Senior Engineer,1998-01-18,9999-01-01,40226
11009,1954-08-30,Alper,Axelband,Senior Staff,1993-09-09,9999-01-01,75111
10871,1952-10-24,Aram,Gilg,Staff,1999-06-16,9999-01-01,40000
11012,1953-09-12,Taegyun,Speckmann,Staff,1996-07-06,9999-01-01,72092
10872,1952-02-21,Karoline,Speel,Senior Staff,1996-09-05,9999-01-01,40000
10873,1952-07-09,Sukumar,Wegerle,Staff,1994-03-23,9999-01-01,65835
10878,1952-06-13,Lakshmi,Deville,Staff,1997-04-25,9999-01-01,72102
10879,1953-08-18,Muzhong,Chleq,Senior Engineer,1985-08-15,9999-01-01,65651
10882,1953-11-01,Fun,Heuser,Engineer,1999-04-29,9999-01-01,40000
10883,1952-07-30,Shimshon,Champarnaud,Engineer,1996-12-28,9999-01-01,40000
10885,1953-05-06,Rayond,Cronau,Senior Staff,1991-08-19,9999-01-01,78613
10887,1953-01-16,Lunjin,DeMori,Senior Engineer,1989-03-17,9999-01-01,69570
11019,1954-09-06,Leon,Huttel,Senior Engineer,1997-05-24,9999-01-01,69387
11021,1954-07-13,Srinidhi,Henders,Staff,1998-02-02,9999-01-01,62670
10906,1952-02-06,Munehiro,Carrere,Staff,1998-10-18,9999-01-01,66204
11031,1954-12-20,Ottavia,Walstra,Senior Staff,1993-10-24,9999-01-01,71654
11032,1953-04-19,Erez,Schaaf,Staff,1994-06-06,9999-01-01,40000
10909,1954-11-11,Georgi,Atchley,Senior Engineer,2000-12-26,9999-01-01,80935
11037,1952-05-22,Lansing,Maliniak,Senior Engineer,1995-01-28,9999-01-01,40000
11048,1952-10-26,Jaques,Demke,Senior Staff,1999-05-27,9999-01-01,65697
10913,1952-09-03,Narain,Thummel,Staff,1998-10-25,9999-01-01,62428
11050,1952-09-23,Elvis,Katiyar,Senior Staff,1991-05-06,9999-01-01,52251
10924,1954-04-27,Hironoby,Atchley,Senior Staff,1997-08-14,9999-01-01,84783
11051,1952-10-06,Przemyslawa,Erol,Senior Engineer,2000-03-26,9999-01-01,40000
11061,1954-11-11,Pintsang,Erni,Senior Staff,2002-02-19,9999-01-01,81257
11111,1954-07-14,Udi,Zastre,Assistant Engineer,1994-12-25,9999-01-01,49777
11112,1954-08-05,Boaz,Mukaidono,Staff,1995-04-28,9999-01-01,40000
11064,1952-08-10,Shawna,Vieri,Senior Engineer,2002-02-27,9999-01-01,48411
11113,1953-04-28,Shahab,Peng,Senior Staff,1991-11-30,9999-01-01,66401
11066,1954-11-06,Shaz,Langford,Senior Staff,1996-04-30,9999-01-01,53496
11070,1952-06-30,Adib,Raney,Senior Engineer,1991-07-24,9999-01-01,40000
11121,1953-02-13,Vugranam,Kakkad,Senior Engineer,1999-11-01,9999-01-01,40000
11071,1954-07-18,Kwan,Sigstam,Senior Engineer,2001-05-23,9999-01-01,40000
11075,1954-10-28,Karsten,Belinskaya,Senior Engineer,1998-05-06,9999-01-01,76877
11130,1953-01-17,Xinyu,Menhoudj,Senior Staff,1997-02-17,9999-01-01,43172
11079,1952-09-18,Piyush,Garigliano,Senior Engineer,2001-05-26,9999-01-01,46239
11081,1952-06-20,Barry,Boyle,Senior Staff,1994-06-17,9999-01-01,65686
11083,1954-07-09,Shimshon,Ducloy,Senior Staff,2000-10-04,9999-01-01,90972
11085,1953-09-08,Hailing,Thummel,Senior Engineer,1996-02-10,9999-01-01,66437
11087,1954-05-17,Changho,Jayawardene,Senior Engineer,1998-03-18,9999-01-01,78081
11132,1952-08-01,Kristin,Harnett,Senior Engineer,1999-08-30,9999-01-01,40000
11134,1954-05-15,Sachar,Rajcani,Senior Engineer,2002-05-19,9999-01-01,58731
11144,1954-12-07,Carrsten,Heinisuo,Senior Staff,2002-07-19,9999-01-01,56144
11091,1952-10-10,Souichi,Ramsay,Engineer,1999-09-11,9999-01-01,76253
11092,1954-09-28,Narain,Stamatiou,Staff,1999-04-05,9999-01-01,78588
11098,1953-09-11,Arnd,Covnot,Engineer,1997-01-08,9999-01-01,40000
11146,1954-06-25,Ishfaq,Masand,Senior Staff,1997-08-21,9999-01-01,96019
11296,1954-12-24,Hironobu,Kenevan,Senior Engineer,1994-09-26,9999-01-01,40000
11301,1953-08-19,Mingzeng,Oxenboll,Senior Staff,1996-05-23,9999-01-01,40000
11148,1953-01-23,Zhanqiu,Botman,Senior Staff,1997-02-08,9999-01-01,56344
11158,1952-02-23,Masaki,Hagimont,Senior Engineer,2002-04-20,9999-01-01,40000
11317,1954-07-24,Shigeaki,Hagimont,Senior Staff,2000-09-07,9999-01-01,40000
11162,1953-03-25,Kauko,Narlikar,Senior Engineer,1990-03-28,9999-01-01,69873
11168,1953-05-03,Shmuel,Tetzlaff,Senior Staff,2001-07-15,9999-01-01,72944
11320,1954-04-13,Atilio,McAlpine,Senior Staff,1998-04-06,9999-01-01,45118
11322,1952-07-19,Nathalie,Pocchiola,Senior Engineer,1999-07-08,9999-01-01,43021
11170,1952-05-05,Minghong,Cannard,Senior Engineer,1990-06-20,9999-01-01,44531
11324,1953-11-16,Kauko,Billingsley,Senior Engineer,1985-08-29,9999-01-01,54288
11325,1952-02-06,Samphel,Rossi,Engineer,1999-01-10,9999-01-01,62458
11326,1952-09-15,Munenori,Plesums,Senior Engineer,1999-02-19,9999-01-01,40000
11174,1952-09-14,Akhilish,Milicia,Engineer,1999-06-07,9999-01-01,45806
11177,1954-04-09,Chrisa,dAstous,Senior Engineer,1999-09-11,9999-01-01,40000
11180,1952-11-07,Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10,9999-01-01,40000
11181,1952-05-28,Hausi,Cullers,Engineer,1997-11-03,9999-01-01,40000
11185,1954-04-10,Aloys,Baezner,Senior Staff,2000-01-26,9999-01-01,40000
11338,1954-11-03,Kwangsub,Hanratty,Senior Staff,1998-10-28,9999-01-01,82210
11339,1954-06-05,Flemming,Massonet,Senior Engineer,1989-12-19,9999-01-01,40000
11340,1952-12-04,Aris,Bala,Senior Engineer,1998-09-11,9999-01-01,48813
11343,1954-09-10,Susanne,Erez,Senior Engineer,1995-02-27,9999-01-01,43306
11186,1953-07-15,Kshitij,Stasinski,Senior Engineer,2000-12-09,9999-01-01,40000
11189,1953-03-07,Dante,Bodoff,Senior Staff,1991-09-07,9999-01-01,71798
11347,1954-12-27,Anneli,Jonsson,Senior Engineer,1992-04-19,9999-01-01,41524
11349,1953-09-05,Yurii,Hammerschmidt,Engineer,1999-06-28,9999-01-01,46356
11192,1952-09-06,Apostol,Bahr,Engineer,1998-04-07,9999-01-01,40000
11201,1952-05-20,Jouko,Masaki,Staff,1995-10-31,9999-01-01,49454
11208,1952-05-29,Saniya,Valtorta,Technique Leader,1994-11-17,9999-01-01,83660
11360,1953-05-24,Fen,Schach,Senior Staff,1997-01-12,9999-01-01,63466
11211,1952-12-11,Yurij,Rissland,Senior Engineer,1985-09-17,9999-01-01,72668
11217,1954-07-01,Kellie,Mawatari,Senior Engineer,1990-03-11,9999-01-01,40000
11365,1953-11-17,Toshimi,Shinomoto,Engineer,1997-12-18,9999-01-01,56463
11373,1953-07-29,Yongmao,Keohane,Senior Staff,2000-07-18,9999-01-01,45912
11376,1952-03-10,Valery,Suomi,Senior Staff,1994-03-14,9999-01-01,46964
11380,1952-04-23,Kenroku,Pelc,Senior Engineer,2001-04-18,9999-01-01,53345
11229,1953-10-20,Gretta,Ramamoorthy,Senior Engineer,2000-07-25,9999-01-01,48214
11385,1952-03-04,Shiv,Ullian,Engineer,1999-08-08,9999-01-01,40000
11386,1954-09-27,Alselm,Assaf,Senior Engineer,1993-11-29,9999-01-01,47726
11393,1954-05-17,Junsik,Junot,Senior Engineer,1992-04-30,9999-01-01,40000
11398,1953-05-30,Oscar,Peir,Senior Staff,2001-09-07,9999-01-01,44625
11401,1952-12-20,Huan,Merey,Staff,1995-04-15,9999-01-01,52021
11404,1954-09-15,Bedrich,Borovoy,Technique Leader,1990-09-25,9999-01-01,42907
11233,1952-05-08,Sanjit,Waschkowski,Senior Engineer,1998-12-14,9999-01-01,46070
11410,1953-11-27,Gro,Vendrig,Engineer,1999-10-25,9999-01-01,45665
11249,1954-10-01,Randi,Cyre,Engineer,1994-09-22,9999-01-01,43324
11415,1953-10-29,Sanjiv,Anido,Engineer,1996-12-07,9999-01-01,40000
11417,1954-11-20,Anneli,Cyne,Technique Leader,1992-12-21,9999-01-01,74114
11418,1954-03-21,Satosi,Cooley,Senior Staff,1991-12-30,9999-01-01,40000
11421,1953-11-07,Josyula,Msuda,Senior Engineer,1995-09-02,9999-01-01,52416
11423,1954-09-16,Guangming,Kopetz,Staff,1998-10-13,9999-01-01,43947
11253,1952-09-11,Koldo,Pokrovskii,Senior Engineer,2000-05-22,9999-01-01,40000
11254,1954-12-14,Danel,Rindone,Staff,1998-12-19,9999-01-01,50562
11258,1953-10-12,Aris,Maccarone,Senior Staff,1998-03-28,9999-01-01,40000
11268,1954-05-14,Aimee,Petersohn,Senior Engineer,1995-10-25,9999-01-01,40000
11441,1954-11-16,Marlo,Aingworth,Senior Staff,1987-03-27,9999-01-01,67352
11446,1954-06-20,Naftali,Narahara,Senior Engineer,1999-04-06,9999-01-01,40000
11452,1953-01-16,Shigehito,Luby,Senior Staff,2001-08-26,9999-01-01,52083
11274,1954-09-08,Masanao,Nicolson,Staff,1999-12-13,9999-01-01,40000
11459,1953-10-14,Duke,Suomi,Senior Staff,1992-05-02,9999-01-01,40000
11289,1953-03-20,Chuanti,Cherinka,Senior Engineer,1996-02-23,9999-01-01,40000
11469,1952-12-01,Guttorm,Giaccio,Senior Engineer,1999-09-08,9999-01-01,44625
11474,1953-04-17,Gennady,Akazan,Engineer,1993-12-29,9999-01-01,59016
11476,1954-06-20,Manton,Yoshizawa,Staff,1994-01-15,9999-01-01,56449
11479,1953-12-02,Shridhar,Pleszkun,Staff,1999-02-10,9999-01-01,78157
11290,1953-05-07,Visit,Dredge,Engineer,1999-05-13,9999-01-01,65034
11292,1953-05-18,Souichi,Sichman,Senior Engineer,1996-02-12,9999-01-01,40000
11294,1954-06-11,Tru,Segond,Senior Engineer,1999-06-13,9999-01-01,43768
11295,1953-02-03,Abdelkader,Lanzelotte,Senior Staff,1990-05-15,9999-01-01,66622
11673,1954-12-20,Henk,Felder,Technique Leader,1989-06-10,9999-01-01,40000
11503,1953-08-01,Nathan,Picht,Senior Engineer,2002-04-09,9999-01-01,56928
11509,1954-06-18,Aleksander,Feldhoffer,Senior Engineer,1992-11-11,9999-01-01,40000
11513,1954-07-16,Otmar,Mahnke,Senior Staff,1998-08-25,9999-01-01,82525
11518,1953-07-21,Jinxi,Oxman,Senior Staff,1999-09-22,9999-01-01,40000
11519,1954-11-26,Halsur,Chinen,Senior Staff,1997-06-12,9999-01-01,61444
11676,1952-04-12,Valeri,Ferriere,Engineer,1998-07-15,9999-01-01,43310
11523,1953-01-25,Yuguang,Pezzoli,Engineer,1998-12-23,9999-01-01,64203
11681,1952-05-15,Fumitake,Benzmuller,Senior Engineer,1995-08-28,9999-01-01,40000
11527,1952-02-06,Alagu,Boyle,Staff,1999-01-28,9999-01-01,60212
11531,1952-09-08,Radhika,Motley,Technique Leader,1992-11-04,9999-01-01,53370
11533,1953-10-30,Vitaly,Lorch,Technique Leader,1991-08-20,9999-01-01,40000
11684,1953-03-07,Oksana,Gide,Senior Staff,1995-02-21,9999-01-01,68753
11540,1954-01-26,Chanjung,Portugali,Senior Engineer,2002-07-02,9999-01-01,70043
11690,1953-11-10,Domenick,Raczkowsky,Staff,1997-09-23,9999-01-01,44420
11693,1952-02-15,Hideo,Coorg,Senior Engineer,1991-08-24,9999-01-01,70403
11696,1954-10-26,Dante,Rothe,Senior Staff,1994-10-23,9999-01-01,51633
11567,1954-07-06,Teiji,Mitzlaff,Senior Staff,1996-02-03,9999-01-01,86261
11573,1952-12-18,Pranas,Hutton,Senior Engineer,1995-02-04,9999-01-01,46194
11713,1952-02-27,Danel,Heusch,Senior Engineer,2000-10-03,9999-01-01,53387
11577,1953-01-11,Mayumi,Deyuan,Senior Engineer,1998-09-23,9999-01-01,40000
11581,1953-04-12,Patricio,Rosenbaum,Senior Engineer,2001-11-13,9999-01-01,46950
11587,1954-07-04,Shem,Zambonelli,Senior Engineer,1989-04-24,9999-01-01,40000
11595,1953-02-26,Takanari,Kamber,Senior Staff,1992-09-08,9999-01-01,68224
11596,1952-12-22,Yannik,Gunderson,Staff,1995-11-23,9999-01-01,54076
11733,1954-05-25,Leszek,Sudbeck,Senior Engineer,2001-01-11,9999-01-01,46092
11602,1953-08-09,Somnath,Malabarba,Senior Staff,2001-06-21,9999-01-01,58575
11603,1954-12-07,Herb,Swen,Senior Staff,1994-04-13,9999-01-01,69180
11606,1952-11-05,Perry,Pepe,Senior Staff,1999-09-27,9999-01-01,40000
11607,1953-12-03,Tomokazu,Foong,Engineer,1995-04-19,9999-01-01,49584
11616,1954-07-12,Zhilian,Brendel,Engineer,1998-12-30,9999-01-01,41900
11736,1953-08-21,Shugo,Uchoa,Senior Engineer,1994-03-07,9999-01-01,44127
11628,1952-02-14,Fan,Malinowski,Senior Engineer,1997-10-23,9999-01-01,43966
11640,1953-10-06,Valeri,Coorg,Senior Engineer,1988-09-26,9999-01-01,52520
11644,1952-04-08,Sanjit,Zaiane,Assistant Engineer,1995-08-09,9999-01-01,80722
11646,1953-06-22,Lobel,Rubsam,Engineer,1999-12-15,9999-01-01,55411
11647,1953-10-13,Magy,Nitsche,Senior Engineer,1993-05-11,9999-01-01,40000
11649,1954-10-07,Shen,Bernardinello,Technique Leader,1992-12-11,9999-01-01,40000
11853,1952-06-19,Zeljko,Kusakabe,Senior Staff,1996-11-17,9999-01-01,61941
